done,task,owner,deadline
TRUE,会場（HOTEL PLUMM 横浜）再予約,会場担当,2026-06-24
TRUE,第2回 BOD コンセプト確認（大人の文化祭 継続）,運営チーム,2026-06-10
TRUE,告知ページ・ハブの仮組み,広報担当,2026-07-01
FALSE,登壇者の候補洗い出し（3名）,プログラム担当,2026-07-08
FALSE,チラシ A4版の差し替え（日付・テーマ）,広報担当,2026-07-15
FALSE,LINE 公式メッセージ草案,広報担当,2026-07-15
FALSE,ビジター招待目標数の設定と各自への割り当て,会長,2026-07-22
FALSE,第1部 席次表（4-2-4 × 7列）作成,会場担当,2026-08-12
FALSE,第2部 円卓席次（パターンA / B）作成,会場担当,2026-08-12
FALSE,第2部 開始スライドの内容確認,プログラム担当,2026-08-19
FALSE,ビジター一覧スライド（専門分野）更新,広報担当,2026-08-19
FALSE,備品リスト最終確認・搬入,会場担当,2026-08-25
